City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,mount gambier,-37.8333,140.7667,17.72,82,96,3.75,AU,2023-01-23 22:22:41
328,srisailam,16.0833,78.8667,16.69,95,15,1.63,IN,2023-01-23 22:27:18
329,siniscola,40.5719,9.6922,1.75,80,84,1.44,IT,2023-01-23 22:27:20
330,flinders,-34.5833,150.8552,23.47,78,65,2.68,AU,2023-01-23 22:27:21
331,qatana,33.4354,36.0815,4.24,71,0,1.53,SY,2023-01-23 22:27:23
332,severo-kurilsk,50.6789,156.125,-6.87,68,90,11.94,RU,2023-01-23 22:27:25
333,pentecoste,-3.7928,-39.2703,25.53,78,54,3.62,BR,2023-01-23 22:26:39
334,longyearbyen,78.2186,15.6401,-4.09,68,20,1.54,SJ,2023-01-23 22:27:30
335,pevek,69.7008,170.3133,-28.87,84,83,0.42,RU,2023-01-23 22:27:31
336,ocala,29.1872,-82.1401,17.75,51,94,1.34,US,2023-01-23 22:26:17
337,natividade,-21.0422,-41.9733,23.99,91,100,0.62,BR,2023-01-23 22:27:34
338,jieshi,22.8134,115.8257,13.34,68,100,9.99,CN,2023-01-23 22:27:35
339,kez,57.8979,53.7152,-21.19,100,79,1.23,RU,2023-01-23 22:27:37
340,komsomolskiy,40.4272,71.7189,-5.08,75,42,0.62,UZ,2023-01-23 22:23:48
341,chuzhou,32.3219,118.2978,-3.53,54,82,5.68,CN,2023-01-23 22:27:39
342,hauterive,46.0901,3.4459,1.42,96,100,2.39,FR,2023-01-23 22:27:41
343,kulhudhuffushi,6.6221,73.07,26.64,70,87,3.2,MV,2023-01-23 22:27:42
344,the valley,18.217,-63.0578,26.08,69,75,5.66,AI,2023-01-23 22:23:50
345,clyde river,70.4692,-68.5914,-33.87,62,20,3.09,CA,2023-01-23 22:27:45
346,luwuk,-0.9516,122.7875,24.66,86,99,0.93,ID,2023-01-23 22:27:46
347,vao,-22.6667,167.4833,25.85,84,91,2.1,NC,2023-01-23 22:27:48
348,neyshabur,36.2133,58.7958,-2.11,62,1,0.5,IR,2023-01-23 22:27:49
349,juneau,58.3019,-134.4197,5.12,97,100,2.57,US,2023-01-23 22:27:51
350,peniche,39.3558,-9.3811,8.39,66,2,5.72,PT,2023-01-23 22:27:53
351,sjenica,43.2731,19.9994,1.03,100,100,1.11,RS,2023-01-23 22:27:55
352,lanivtsi,49.8633,26.0908,-0.33,89,51,2.67,UA,2023-01-23 22:27:56
353,vestmannaeyjar,63.4427,-20.2734,2.46,89,100,9.65,IS,2023-01-23 22:27:58
354,talkha,31.0539,31.3779,12.81,94,0,3.15,EG,2023-01-23 22:27:59
355,newtownards,54.5924,-5.6909,8.41,93,100,3.6,GB,2023-01-23 22:28:01
356,zvishavane,-20.3267,30.0665,20.51,81,100,1.8,ZW,2023-01-23 22:28:02
357,sambava,-14.2667,50.1667,24.15,86,100,2.86,MG,2023-01-23 22:28:04
358,cordoba,-31.4135,-64.1811,34.31,37,0,4.63,AR,2023-01-23 22:25:01
359,provideniya,64.3833,-173.3,-14.94,61,20,7.0,RU,2023-01-23 22:28:07
360,honningsvag,70.9821,25.9704,-0.14,93,100,10.29,NO,2023-01-23 22:28:09
361,hermiston,45.8404,-119.2895,9.97,61,0,2.57,US,2023-01-23 22:26:55
362,los llanos de aridane,28.6585,-17.9182,15.86,68,100,5.14,ES,2023-01-23 22:28:13
363,kalia,23.0396,89.6328,17.83,65,21,2.04,BD,2023-01-23 22:28:15
364,wuhu,31.3366,118.3755,-2.26,59,11,4.84,CN,2023-01-23 22:28:17
365,emerald,-23.5333,148.1667,25.19,74,4,4.08,AU,2023-01-23 22:28:18
366,zeya,53.75,127.2667,-33.81,94,100,1.54,RU,2023-01-23 22:28:20
367,lincoln,40.8,-96.667,2.95,81,100,2.06,US,2023-01-23 22:26:59
368,san antonio,29.4241,-98.4936,15.49,32,100,6.17,US,2023-01-23 22:25:31
369,todos santos,23.45,-110.2167,25.58,71,4,3.34,MX,2023-01-23 22:28:24
370,bonthe,7.5264,-12.505,24.56,84,66,2.74,SL,2023-01-23 22:28:26
371,waipawa,-41.4122,175.5153,15.86,64,42,2.0,NZ,2023-01-23 22:28:27
372,shaki,41.0833,47.1667,1.27,67,6,1.16,AZ,2023-01-23 22:28:28
373,chadiza,-14.0678,32.4392,17.3,98,100,1.59,ZM,2023-01-23 22:28:30
374,prainha,-1.8,-53.48,24.17,92,66,2.03,BR,2023-01-23 22:28:31
375,rosignol,6.2833,-57.5333,24.03,84,68,3.51,GY,2023-01-23 22:26:40
376,gat,31.61,34.7642,15.78,63,0,0.75,IL,2023-01-23 22:28:03
377,ossora,59.2353,163.0719,-10.05,94,100,9.82,RU,2023-01-23 22:28:37
378,tupik,54.4253,119.9327,-32.77,94,95,1.12,RU,2023-01-23 22:28:38
379,wanning,18.8003,110.3967,19.19,87,100,7.1,CN,2023-01-23 22:25:00
380,yeppoon,-23.1333,150.7333,25.88,71,33,3.88,AU,2023-01-23 22:28:44
381,lodhran,29.5405,71.6336,9.28,40,0,3.94,PK,2023-01-23 22:28:45
382,poshekhonye,58.4993,39.1353,-8.8,97,99,2.16,RU,2023-01-23 22:28:47
383,pacific grove,36.6177,-121.9166,16.12,37,0,4.63,US,2023-01-23 22:28:49
384,cabedelo,-6.9811,-34.8339,27.37,76,12,7.09,BR,2023-01-23 22:28:03
385,moose factory,51.2585,-80.6094,-3.0,93,100,4.63,CA,2023-01-23 22:28:52
386,faya,18.3851,42.4509,11.06,72,1,0.6,SA,2023-01-23 22:28:53
387,villamontes,-21.25,-63.5,25.92,70,100,1.33,BO,2023-01-23 22:28:55
388,mayo,38.8876,-76.5119,7.06,62,100,7.2,US,2023-01-23 22:28:56
389,gao,16.6362,1.637,25.29,13,18,3.0,ML,2023-01-23 22:28:59
390,mehamn,71.0357,27.8492,-0.03,86,40,10.29,NO,2023-01-23 22:29:00
391,fare,-16.7,-151.0167,25.47,79,100,4.91,PF,2023-01-23 22:29:02
392,vanimo,-2.6741,141.3028,24.96,90,100,0.98,PG,2023-01-23 22:29:03
393,riverton,40.5219,-111.9391,1.51,67,0,6.17,US,2023-01-23 22:29:05
394,dingle,10.9995,122.6711,23.13,94,100,3.51,PH,2023-01-23 22:29:07
395,paamiut,61.994,-49.6678,-5.22,83,100,6.64,GL,2023-01-23 22:29:09
396,wexford,52.3342,-6.4575,9.56,100,100,2.24,IE,2023-01-23 22:28:23
397,chokurdakh,70.6333,147.9167,-31.26,99,99,1.42,RU,2023-01-23 22:29:12
398,mombetsu,44.3525,143.3525,-8.58,87,83,3.88,JP,2023-01-23 22:29:13
399,itsukaichi,35.7253,139.2178,3.25,77,75,1.54,JP,2023-01-23 22:29:14
400,atar,20.5169,-13.0499,20.81,14,1,4.31,MR,2023-01-23 22:29:17
401,skegness,53.1436,0.3363,-1.02,84,11,2.88,GB,2023-01-23 22:25:29
402,ardalstangen,61.2371,7.6983,3.63,98,100,1.71,NO,2023-01-23 22:29:21
403,kantemirovka,49.7089,39.8592,-5.15,82,75,4.11,RU,2023-01-23 22:29:23
404,solnechnyy,50.7214,136.6319,-33.84,99,100,0.49,RU,2023-01-23 22:29:24
405,ocos,14.5094,-92.1933,30.1,65,3,4.94,GT,2023-01-23 22:29:26
406,bezhetsk,57.7851,36.6965,-6.07,97,99,2.82,RU,2023-01-23 22:29:27
407,pemangkat,1.1667,108.9667,23.83,90,100,2.19,ID,2023-01-23 22:29:28
408,tomaszow lubelski,50.4477,23.4162,1.18,91,97,3.57,PL,2023-01-23 22:29:30
409,villazon,-22.0866,-65.5942,12.02,72,81,3.23,BO,2023-01-23 22:29:33
410,iralaya,15.0,-83.2333,26.27,78,42,4.04,HN,2023-01-23 22:29:34
411,florencia,43.7667,11.25,5.64,90,40,2.24,IT,2023-01-23 22:26:36
412,kapit,2.0167,112.9333,22.39,100,100,0.34,MY,2023-01-23 22:29:37
413,kaeo,-35.1,173.7833,24.07,70,100,3.85,NZ,2023-01-23 22:29:38
414,estrela,-28.0611,-50.9383,21.9,77,70,1.08,BR,2023-01-23 22:29:39
415,argir,61.9959,-6.7715,5.54,93,100,3.88,FO,2023-01-23 22:29:41
416,comodoro rivadavia,-45.8667,-67.5,31.92,17,0,9.26,AR,2023-01-23 22:29:42
417,parry sound,45.3501,-80.033,0.03,80,100,3.96,CA,2023-01-23 22:29:44
418,ajdabiya,30.7554,20.2263,13.12,36,0,4.28,LY,2023-01-23 22:29:45
419,maicao,11.3832,-72.2432,28.31,61,74,7.62,CO,2023-01-23 22:29:47
420,talnakh,69.4865,88.3972,-31.86,93,22,2.74,RU,2023-01-23 22:29:48
421,trindade,-16.6494,-49.4889,24.86,94,97,1.29,BR,2023-01-23 22:26:23
422,sur,22.5667,59.5289,18.58,49,15,4.55,OM,2023-01-23 22:29:51
423,great falls,47.5002,-111.3008,0.79,69,75,8.75,US,2023-01-23 22:27:09
424,avera,33.194,-82.5271,10.03,54,5,4.82,US,2023-01-23 22:29:55
